Date : 2025-07-29 23:34:10
Directory : d:\Flutter\old_version\lib
Total : 325 files,  39759 codes, 2131 comments, 2407 blanks, all 44297 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| core\middleware                                                                                          |          1 |         28 |          2 |          4 |         34 |
| core\responsive                                                                                          |          5 |         99 |         24 |         17 |        140 |
| core\services                                                                                            |          1 |         27 |         13 |          9 |         49 |
| core\shared                                                                                              |         18 |      1,257 |         13 |         76 |      1,346 |
| core\shared (Files)                                                                                      |         12 |        573 |          9 |         39 |        621 |
| core\shared\drop_downs                                                                                   |          6 |        684 |          4 |         37 |        725 |
| data                                                                                                     |         52 |      4,024 |        113 |        407 |      4,544 |
| data\model                                                                                               |         33 |      1,332 |          5 |        108 |      1,445 |
| data\model (Files)                                                                                       |         19 |        882 |          5 |         66 |        953 |
| data\model\locale                                                                                        |          6 |         70 |          0 |         10 |         80 |
| data\model\reports                                                                                       |          8 |        380 |          0 |         32 |        412 |
| data\source                                                                                              |         18 |      2,539 |        100 |        273 |      2,912 |
| data\source (Files)                                                                                      |          8 |      1,466 |         92 |        181 |      1,739 |
| data\source\auth                                                                                         |          1 |         86 |          0 |          9 |         95 |
| data\source\imp_exp                                                                                      |          2 |        163 |          0 |         15 |        178 |
| data\source\inventory_data                                                                               |          7 |        824 |          8 |         68 |        900 |
| data\sql                                                                                                 |          1 |        153 |          8 |         26 |        187 |
| view                                                                                                     |        177 |     19,723 |        625 |        734 |     21,082 |
| view\add_account                                                                                         |          6 |        495 |          7 |         25 |        527 |
| view\add_account (Files)                                                                                 |          1 |         19 |          0 |          3 |         22 |
| view\add_account\components                                                                              |          3 |        229 |          1 |         10 |        240 |
| view\add_account\mobile                                                                                  |          1 |          8 |          0 |          2 |         10 |
| view\add_account\windows                                                                                 |          1 |        239 |          6 |         10 |        255 |
| view\auth                                                                                                |          3 |        541 |          1 |         20 |        562 |
| view\auth\login                                                                                          |          1 |        188 |          1 |          7 |        196 |
| view\auth\system_auth                                                                                    |          2 |        353 |          0 |         13 |        366 |
| view\buying                                                                                              |         10 |      1,399 |         41 |         40 |      1,480 |
| view\buying (Files)                                                                                      |          1 |         16 |          0 |          3 |         19 |
| view\buying\components                                                                                   |          3 |        365 |         32 |         17 |        414 |
| view\buying\mobile                                                                                       |          2 |        357 |          4 |          6 |        367 |
| view\buying\windows                                                                                      |          4 |        661 |          5 |         14 |        680 |
| view\buying\windows (Files)                                                                              |          1 |        295 |          4 |          3 |        302 |
| view\buying\windows\add_buying                                                                           |          1 |         46 |          0 |          3 |         49 |
| view\buying\windows\view_buying                                                                          |          1 |        172 |          1 |          5 |        178 |
| view\buying\windows\view_details                                                                         |          1 |        148 |          0 |          3 |        151 |
| view\cashier                                                                                             |         19 |      2,632 |        196 |        118 |      2,946 |
| view\cashier (Files)                                                                                     |          1 |        122 |          8 |         15 |        145 |
| view\cashier\components                                                                                  |          1 |        170 |          1 |          7 |        178 |
| view\cashier\mobile                                                                                      |          7 |        823 |         14 |         35 |        872 |
| view\cashier\mobile (Files)                                                                              |          1 |        130 |          2 |          3 |        135 |
| view\cashier\mobile\components                                                                           |          6 |        693 |         12 |         32 |        737 |
| view\cashier\windows                                                                                     |         10 |      1,517 |        173 |         61 |      1,751 |
| view\cashier\windows\action                                                                              |          5 |        730 |         16 |         19 |        765 |
| view\cashier\windows\action (Files)                                                                      |          1 |        200 |          5 |          3 |        208 |
| view\cashier\windows\action\components                                                                   |          4 |        530 |         11 |         16 |        557 |
| view\cashier\windows\view                                                                                |          5 |        787 |        157 |         42 |        986 |
| view\cashier\windows\view (Files)                                                                        |          1 |        181 |          3 |         10 |        194 |
| view\cashier\windows\view\components                                                                     |          4 |        606 |        154 |         32 |        792 |
| view\categories                                                                                          |          9 |        570 |          7 |         35 |        612 |
| view\categories (Files)                                                                                  |          3 |         56 |          0 |          9 |         65 |
| view\categories\mobile                                                                                   |          1 |         38 |          0 |          3 |         41 |
| view\categories\widgets                                                                                  |          3 |        349 |          3 |         15 |        367 |
| view\categories\windows                                                                                  |          2 |        127 |          4 |          8 |        139 |
| view\home                                                                                                |         10 |        842 |          1 |         29 |        872 |
| view\home (Files)                                                                                        |          1 |         36 |          0 |          3 |         39 |
| view\home\desktop                                                                                        |          3 |        147 |          1 |          9 |        157 |
| view\home\drawer                                                                                         |          3 |        530 |          0 |          9 |        539 |
| view\home\mobile                                                                                         |          3 |        129 |          0 |          8 |        137 |
| view\imp_exp                                                                                             |         21 |      2,466 |        140 |         86 |      2,692 |
| view\imp_exp (Files)                                                                                     |          3 |        169 |         99 |         16 |        284 |
| view\imp_exp\components                                                                                  |          5 |        532 |          3 |         20 |        555 |
| view\imp_exp\desktop                                                                                     |          7 |      1,014 |         38 |         30 |      1,082 |
| view\imp_exp\desktop\export                                                                              |          3 |        533 |         14 |         12 |        559 |
| view\imp_exp\desktop\import                                                                              |          4 |        481 |         24 |         18 |        523 |
| view\imp_exp\mobile                                                                                      |          6 |        751 |          0 |         20 |        771 |
| view\imp_exp\mobile\export                                                                               |          3 |        358 |          0 |         10 |        368 |
| view\imp_exp\mobile\import                                                                               |          3 |        393 |          0 |         10 |        403 |
| view\inventory                                                                                           |         19 |      2,981 |         45 |         74 |      3,100 |
| view\inventory (Files)                                                                                   |          1 |         16 |          0 |          3 |         19 |
| view\inventory\components                                                                                |          1 |         38 |          9 |          3 |         50 |
| view\inventory\mobile                                                                                    |          1 |        291 |          2 |          5 |        298 |
| view\inventory\windows                                                                                   |         16 |      2,636 |         34 |         63 |      2,733 |
| view\inventory\windows (Files)                                                                           |          2 |        327 |         19 |          9 |        355 |
| view\inventory\windows\box                                                                               |          3 |        554 |          4 |         11 |        569 |
| view\inventory\windows\budget                                                                            |          1 |        141 |          0 |          7 |        148 |
| view\inventory\windows\creditor                                                                          |          2 |        289 |          3 |          7 |        299 |
| view\inventory\windows\debtor                                                                            |          2 |        272 |          4 |          8 |        284 |
| view\inventory\windows\expense                                                                           |          1 |        187 |          0 |          4 |        191 |
| view\inventory\windows\export                                                                            |          1 |        193 |          0 |          4 |        197 |
| view\inventory\windows\import                                                                            |          1 |        192 |          1 |          3 |        196 |
| view\inventory\windows\profits                                                                           |          1 |        215 |          0 |          3 |        218 |
| view\inventory\windows\total_profit                                                                      |          2 |        266 |          3 |          7 |        276 |
| view\items                                                                                               |         17 |      1,880 |         20 |         75 |      1,975 |
| view\items (Files)                                                                                       |          4 |        196 |          0 |         14 |        210 |
| view\items\mobile                                                                                        |          3 |        132 |          0 |         11 |        143 |
| view\items\widget                                                                                        |          7 |      1,260 |         20 |         40 |      1,320 |
| view\items\windows                                                                                       |          3 |        292 |          0 |         10 |        302 |
| view\reports                                                                                             |         16 |      1,210 |         42 |         46 |      1,298 |
| view\reports (Files)                                                                                     |          1 |        149 |          0 |          4 |        153 |
| view\reports\billing_profits                                                                             |          1 |          8 |          0 |          2 |         10 |
| view\reports\components                                                                                  |          2 |        191 |          1 |          6 |        198 |
| view\reports\daily_reports                                                                               |         10 |        846 |         41 |         30 |        917 |
| view\reports\daily_reports (Files)                                                                       |          1 |        232 |          1 |          3 |        236 |
| view\reports\daily_reports\account_statement                                                             |          1 |         67 |          5 |          3 |         75 |
| view\reports\daily_reports\bank                                                                          |          1 |         70 |          5 |          3 |         78 |
| view\reports\daily_reports\box                                                                           |          1 |         66 |          5 |          3 |         74 |
| view\reports\daily_reports\customer                                                                      |          1 |         67 |          5 |          3 |         75 |
| view\reports\daily_reports\general_ledger                                                                |          1 |         80 |          0 |          3 |         83 |
| view\reports\daily_reports\retained_earnings                                                             |          1 |         67 |          5 |          3 |         75 |
| view\reports\daily_reports\supplier                                                                      |          1 |         67 |          5 |          3 |         75 |
| view\reports\daily_reports\trial_balance                                                                 |          1 |         63 |          5 |          3 |         71 |
| view\reports\daily_reports\withdraw                                                                      |          1 |         67 |          5 |          3 |         75 |
| view\reports\financial_reports                                                                           |          1 |          8 |          0 |          2 |         10 |
| view\reports\inventory_reports                                                                           |          1 |          8 |          0 |          2 |         10 |
| view\settings                                                                                            |         27 |      3,011 |         74 |        101 |      3,186 |
| view\settings (Files)                                                                                    |          1 |         20 |          0 |          3 |         23 |
| view\settings\components                                                                                 |          5 |        599 |          4 |         24 |        627 |
| view\settings\invoices                                                                                   |          7 |      1,372 |         59 |         31 |      1,462 |
| view\settings\invoices (Files)                                                                           |          1 |        153 |          1 |          6 |        160 |
| view\settings\invoices\mobile                                                                            |          1 |         77 |          0 |          3 |         80 |
| view\settings\invoices\shared                                                                            |          4 |      1,040 |         56 |         18 |      1,114 |
| view\settings\invoices\windows                                                                           |          1 |        102 |          2 |          4 |        108 |
| view\settings\mobile                                                                                     |          6 |        404 |          6 |         19 |        429 |
| view\settings\windows                                                                                    |          8 |        616 |          5 |         24 |        645 |
| view\settings\windows (Files)                                                                            |          2 |        132 |          4 |          6 |        142 |
| view\settings\windows\tabs                                                                               |          6 |        484 |          1 |         18 |        503 |
| view\transactions                                                                                        |         13 |      1,267 |         33 |         58 |      1,358 |
| view\transactions (Files)                                                                                |          3 |        166 |          0 |         10 |        176 |
| view\transactions\components                                                                             |          1 |         42 |          0 |          2 |         44 |
| view\transactions\payment                                                                                |          4 |        510 |          3 |         20 |        533 |
| view\transactions\payment\widgets                                                                        |          3 |        356 |          0 |         14 |        370 |
| view\transactions\payment\windows                                                                        |          1 |        154 |          3 |          6 |        163 |
| view\transactions\receipt                                                                                |          5 |        549 |         30 |         26 |        605 |
| view\transactions\receipt\mobile                                                                         |          1 |          8 |          0 |          2 |         10 |
| view\transactions\receipt\widgets                                                                        |          3 |        387 |         27 |         17 |        431 |
| view\transactions\receipt\windows                                                                        |          1 |        154 |          3 |          7 |        164 |
| view\widgets                                                                                             |          7 |        429 |         18 |         27 |        474 |
| view\widgets\tables                                                                                      |          7 |        429 |         18 |         27 |        474 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                 | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Flutter\old_version\lib\controller\add_account_controller.dart                                        | Dart     |        439 |         28 |         42 |        509 |
| d:\Flutter\old_version\lib\controller\auth\login_controller.dart                                         | Dart     |         80 |          1 |          8 |         89 |
| d:\Flutter\old_version\lib\controller\auth\register_controller.dart                                      | Dart     |        315 |         19 |         22 |        356 |
| d:\Flutter\old_version\lib\controller\buying\buying_controller.dart                                      | Dart     |        649 |         33 |         50 |        732 |
| d:\Flutter\old_version\lib\controller\buying\buying_details_view_controller.dart                         | Dart     |        209 |          8 |         16 |        233 |
| d:\Flutter\old_version\lib\controller\buying\definition_buying_controller.dart                           | Dart     |        349 |         24 |         25 |        398 |
| d:\Flutter\old_version\lib\controller\cashier\cashier_constant_controller.dart                           | Dart     |        901 |         25 |         18 |        944 |
| d:\Flutter\old_version\lib\controller\cashier\cashier_controller.dart                                    | Dart     |      1,066 |         56 |        104 |      1,226 |
| d:\Flutter\old_version\lib\controller\cashier\cashier_definition_controller.dart                         | Dart     |         80 |         25 |          4 |        109 |
| d:\Flutter\old_version\lib\controller\catagories\catagories_controller.dart                              | Dart     |        167 |         10 |         40 |        217 |
| d:\Flutter\old_version\lib\controller\home\account_controller.dart                                       | Dart     |         82 |          0 |          5 |         87 |
| d:\Flutter\old_version\lib\controller\home\add_admin_controller.dart                                     | Dart     |         82 |          0 |          5 |         87 |
| d:\Flutter\old_version\lib\controller\home\home_controller.dart                                          | Dart     |        206 |          2 |         13 |        221 |
| d:\Flutter\old_version\lib\controller\imp_exp\edit_import_export_controller.dart                         | Dart     |        141 |         41 |         14 |        196 |
| d:\Flutter\old_version\lib\controller\imp_exp\export_controller.dart                                     | Dart     |        175 |          4 |         14 |        193 |
| d:\Flutter\old_version\lib\controller\imp_exp\import_controller.dart                                     | Dart     |        153 |         21 |         14 |        188 |
| d:\Flutter\old_version\lib\controller\imp_exp\import_export_controller.dart                              | Dart     |        387 |         42 |         28 |        457 |
| d:\Flutter\old_version\lib\controller\imp_exp\transaction_controller.dart                                | Dart     |        184 |         42 |         14 |        240 |
| d:\Flutter\old_version\lib\controller\imp_exp\transaction_payment_controller.dart                        | Dart     |        120 |          3 |         10 |        133 |
| d:\Flutter\old_version\lib\controller\imp_exp\transaction_receipt_controller.dart                        | Dart     |        119 |          3 |         10 |        132 |
| d:\Flutter\old_version\lib\controller\inventory\edit_import_export_controller.dart                       | Dart     |        145 |          3 |         11 |        159 |
| d:\Flutter\old_version\lib\controller\inventory\inventory_controller.dart                                | Dart     |      1,234 |         25 |        140 |      1,399 |
| d:\Flutter\old_version\lib\controller\inventory\inventory_definitions_controller.dart                    | Dart     |        358 |         15 |         23 |        396 |
| d:\Flutter\old_version\lib\controller\items\items_add_controller.dart                                    | Dart     |        182 |          4 |         19 |        205 |
| d:\Flutter\old_version\lib\controller\items\items_definition_controller.dart                             | Dart     |        509 |         14 |         35 |        558 |
| d:\Flutter\old_version\lib\controller\items\items_update_controller.dart                                 | Dart     |        113 |          2 |         15 |        130 |
| d:\Flutter\old_version\lib\controller\items\items_view_controller.dart                                   | Dart     |        422 |         14 |         40 |        476 |
| d:\Flutter\old_version\lib\controller\printer\invoice_controller.dart                                    | Dart     |      1,543 |        145 |        124 |      1,812 |
| d:\Flutter\old_version\lib\controller\printer\sunmi_printer_controller.dart                              | Dart     |        255 |         13 |         21 |        289 |
| d:\Flutter\old_version\lib\controller\reports\daily_reports\daily_reports_controller.dart                | Dart     |        615 |         50 |         38 |        703 |
| d:\Flutter\old_version\lib\controller\setting\back_up_controller.dart                                    | Dart     |        222 |         20 |         36 |        278 |
| d:\Flutter\old_version\lib\controller\setting\currency_controller.dart                                   | Dart     |         15 |          0 |          4 |         19 |
| d:\Flutter\old_version\lib\controller\setting\language_controller.dart                                   | Dart     |         21 |          0 |          5 |         26 |
| d:\Flutter\old_version\lib\controller\setting\security_controller.dart                                   | Dart     |         91 |          5 |         12 |        108 |
| d:\Flutter\old_version\lib\controller\setting\setting_controller.dart                                    | Dart     |        211 |          4 |         12 |        227 |
| d:\Flutter\old_version\lib\core\class\crud.dart                                                          | Dart     |         64 |          7 |          7 |         78 |
| d:\Flutter\old_version\lib\core\class\handling_data_view.dart                                            | Dart     |         72 |          0 |          7 |         79 |
| d:\Flutter\old_version\lib\core\class\statusrequest.dart                                                 | Dart     |         10 |          0 |          0 |         10 |
| d:\Flutter\old_version\lib\core\constant\app_theme.dart                                                  | Dart     |         80 |          0 |         11 |         91 |
| d:\Flutter\old_version\lib\core\constant\color.dart                                                      | Dart     |         17 |          2 |          5 |         24 |
| d:\Flutter\old_version\lib\core\constant\dev_config.dart                                                 | Dart     |          7 |          3 |          2 |         12 |
| d:\Flutter\old_version\lib\core\constant\imgaeasset.dart                                                 | Dart     |         28 |          4 |          3 |         35 |
| d:\Flutter\old_version\lib\core\constant\routes.dart                                                     | Dart     |        132 |         16 |          9 |        157 |
| d:\Flutter\old_version\lib\core\constant\screen_routes.dart                                              | Dart     |         50 |          9 |          3 |         62 |
| d:\Flutter\old_version\lib\core\dialogs\auth_dialog.dart                                                 | Dart     |        130 |          0 |          5 |        135 |
| d:\Flutter\old_version\lib\core\dialogs\confirm_dialog.dart                                              | Dart     |         65 |          0 |          6 |         71 |
| d:\Flutter\old_version\lib\core\dialogs\custom_snack_bar.dart                                            | Dart     |         54 |          3 |          3 |         60 |
| d:\Flutter\old_version\lib\core\dialogs\delete_dialog.dart                                               | Dart     |         43 |          0 |          2 |         45 |
| d:\Flutter\old_version\lib\core\dialogs\error_dialogs.dart                                               | Dart     |         51 |          0 |          5 |         56 |
| d:\Flutter\old_version\lib\core\dialogs\show_form_dialog.dart                                            | Dart     |         93 |          0 |          4 |         97 |
| d:\Flutter\old_version\lib\core\dialogs\snackbar_helper.dart                                             | Dart     |         54 |          0 |          5 |         59 |
| d:\Flutter\old_version\lib\core\functions\calculate_discount.dart                                        | Dart     |         11 |          0 |          3 |         14 |
| d:\Flutter\old_version\lib\core\functions\change_direction.dart                                          | Dart     |         12 |          0 |          3 |         15 |
| d:\Flutter\old_version\lib\core\functions\check_internet.dart                                            | Dart     |         11 |          0 |          2 |         13 |
| d:\Flutter\old_version\lib\core\functions\combine_products_name.dart                                     | Dart     |         50 |          3 |          3 |         56 |
| d:\Flutter\old_version\lib\core\functions\custom_scroll.dart                                             | Dart     |          7 |          0 |          2 |          9 |
| d:\Flutter\old_version\lib\core\functions\date_picker.dart                                               | Dart     |         20 |          0 |          3 |         23 |
| d:\Flutter\old_version\lib\core\functions\formating_numbers.dart                                         | Dart     |         18 |          0 |          5 |         23 |
| d:\Flutter\old_version\lib\core\functions\handing_data_controller.dart                                   | Dart     |          8 |          0 |          2 |         10 |
| d:\Flutter\old_version\lib\core\functions\handle_data_function.dart                                      | Dart     |         28 |          0 |          2 |         30 |
| d:\Flutter\old_version\lib\core\functions\handle_data_function_mobile.dart                               | Dart     |         32 |          0 |          2 |         34 |
| d:\Flutter\old_version\lib\core\functions\keyboard_listener.dart                                         | Dart     |         21 |          0 |          3 |         24 |
| d:\Flutter\old_version\lib\core\functions\show_popup_menu.dart                                           | Dart     |         45 |          2 |          4 |         51 |
| d:\Flutter\old_version\lib\core\functions\upload_file.dart                                               | Dart     |         17 |          1 |          4 |         22 |
| d:\Flutter\old_version\lib\core\functions\validinput.dart                                                | Dart     |         37 |          0 |         10 |         47 |
| d:\Flutter\old_version\lib\core\localization\ar_translation.dart                                         | Dart     |        399 |         14 |         11 |        424 |
| d:\Flutter\old_version\lib\core\localization\changelocal.dart                                            | Dart     |         27 |          1 |          7 |         35 |
| d:\Flutter\old_version\lib\core\localization\en_translation.dart                                         | Dart     |        423 |         12 |          6 |        441 |
| d:\Flutter\old_version\lib\core\localization\text_routes.dart                                            | Dart     |        560 |         19 |          8 |        587 |
| d:\Flutter\old_version\lib\core\localization\translation.dart                                            | Dart     |         10 |        544 |          5 |        559 |
| d:\Flutter\old_version\lib\core\middleware\mymiddleware.dart                                             | Dart     |         28 |          2 |          4 |         34 |
| d:\Flutter\old_version\lib\core\responsive\divide_screen_widget.dart                                     | Dart     |         22 |          0 |          3 |         25 |
| d:\Flutter\old_version\lib\core\responsive\responisve_text_body.dart                                     | Dart     |         22 |         11 |          3 |         36 |
| d:\Flutter\old_version\lib\core\responsive\responsive_builder.dart                                       | Dart     |         10 |          0 |          2 |         12 |
| d:\Flutter\old_version\lib\core\responsive\responsive_icons.dart                                         | Dart     |         22 |         11 |          3 |         36 |
| d:\Flutter\old_version\lib\core\responsive\screen_builder.dart                                           | Dart     |         23 |          2 |          6 |         31 |
| d:\Flutter\old_version\lib\core\services\services.dart                                                   | Dart     |         27 |         13 |          9 |         49 |
| d:\Flutter\old_version\lib\core\shared\custom_appbar_title.dart                                          | Dart     |         35 |          0 |          2 |         37 |
| d:\Flutter\old_version\lib\core\shared\custom_buttton_global.dart                                        | Dart     |         39 |          0 |          2 |         41 |
| d:\Flutter\old_version\lib\core\shared\custom_divider.dart                                               | Dart     |          8 |          0 |          2 |         10 |
| d:\Flutter\old_version\lib\core\shared\custom_floating_button.dart                                       | Dart     |         21 |          0 |          3 |         24 |
| d:\Flutter\old_version\lib\core\shared\custom_formfield_global.dart                                      | Dart     |        108 |          2 |          4 |        114 |
| d:\Flutter\old_version\lib\core\shared\custom_header_screen.dart                                         | Dart     |         69 |          1 |          8 |         78 |
| d:\Flutter\old_version\lib\core\shared\custom_search_widget.dart                                         | Dart     |         82 |          1 |          4 |         87 |
| d:\Flutter\old_version\lib\core\shared\custom_sized_box.dart                                             | Dart     |         12 |          0 |          3 |         15 |
| d:\Flutter\old_version\lib\core\shared\custom_table_header_global.dart                                   | Dart     |         44 |          1 |          3 |         48 |
| d:\Flutter\old_version\lib\core\shared\custom_table_headers.dart                                         | Dart     |         16 |          0 |          2 |         18 |
| d:\Flutter\old_version\lib\core\shared\custom_table_widget.dart                                          | Dart     |         42 |          3 |          2 |         47 |
| d:\Flutter\old_version\lib\core\shared\custom_text_field_widget.dart                                     | Dart     |         97 |          1 |          4 |        102 |
| d:\Flutter\old_version\lib\core\shared\drop_downs\custom_drop_down_search.dart                           | Dart     |        108 |          1 |          6 |        115 |
| d:\Flutter\old_version\lib\core\shared\drop_downs\custom_drop_down_search_items.dart                     | Dart     |        182 |          1 |          8 |        191 |
| d:\Flutter\old_version\lib\core\shared\drop_downs\custom_drop_down_search_users.dart                     | Dart     |        165 |          1 |          8 |        174 |
| d:\Flutter\old_version\lib\core\shared\drop_downs\drop_down_menu.dart                                    | Dart     |         59 |          0 |          5 |         64 |
| d:\Flutter\old_version\lib\core\shared\drop_downs\drop_down_units.dart                                   | Dart     |        106 |          1 |          6 |        113 |
| d:\Flutter\old_version\lib\core\shared\drop_downs\sort_drop_down.dart                                    | Dart     |         64 |          0 |          4 |         68 |
| d:\Flutter\old_version\lib\data\model\account_model.dart                                                 | Dart     |         47 |          0 |          3 |         50 |
| d:\Flutter\old_version\lib\data\model\box_model.dart                                                     | Dart     |         30 |          0 |          3 |         33 |
| d:\Flutter\old_version\lib\data\model\cart_model.dart                                                    | Dart     |        116 |          1 |          4 |        121 |
| d:\Flutter\old_version\lib\data\model\categories_model.dart                                              | Dart     |         20 |          0 |          3 |         23 |
| d:\Flutter\old_version\lib\data\model\creditor_debtor_details_model.dart                                 | Dart     |         24 |          0 |          3 |         27 |
| d:\Flutter\old_version\lib\data\model\debtors_model.dart                                                 | Dart     |         26 |          0 |          5 |         31 |
| d:\Flutter\old_version\lib\data\model\export_model.dart                                                  | Dart     |         47 |          0 |          2 |         49 |
| d:\Flutter\old_version\lib\data\model\import_model.dart                                                  | Dart     |         33 |          0 |          3 |         36 |
| d:\Flutter\old_version\lib\data\model\invoice_model.dart                                                 | Dart     |         53 |          0 |          3 |         56 |
| d:\Flutter\old_version\lib\data\model\item_details_model.dart                                            | Dart     |         36 |          0 |          4 |         40 |
| d:\Flutter\old_version\lib\data\model\items_model.dart                                                   | Dart     |         61 |          0 |          3 |         64 |
| d:\Flutter\old_version\lib\data\model\laptop_model.dart                                                  | Dart     |        112 |          2 |          4 |        118 |
| d:\Flutter\old_version\lib\data\model\locale\account_menu_model.dart                                     | Dart     |         12 |          0 |          1 |         13 |
| d:\Flutter\old_version\lib\data\model\locale\custom_selected_list_items.dart                             | Dart     |         14 |          0 |          2 |         16 |
| d:\Flutter\old_version\lib\data\model\locale\custom_selected_list_users.dart                             | Dart     |         14 |          0 |          2 |         16 |
| d:\Flutter\old_version\lib\data\model\locale\custom_units_list.dart                                      | Dart     |         12 |          0 |          2 |         14 |
| d:\Flutter\old_version\lib\data\model\locale\inventory_list_data.dart                                    | Dart     |         13 |          0 |          2 |         15 |
| d:\Flutter\old_version\lib\data\model\locale\unit_types.dart                                             | Dart     |          5 |          0 |          1 |          6 |
| d:\Flutter\old_version\lib\data\model\purchaes_model.dart                                                | Dart     |         68 |          2 |          4 |         74 |
| d:\Flutter\old_version\lib\data\model\reports\account_statement_model.dart                               | Dart     |         44 |          0 |          4 |         48 |
| d:\Flutter\old_version\lib\data\model\reports\box_transaction_model.dart                                 | Dart     |         48 |          0 |          4 |         52 |
| d:\Flutter\old_version\lib\data\model\reports\customer_ledger_model.dart                                 | Dart     |         48 |          0 |          4 |         52 |
| d:\Flutter\old_version\lib\data\model\reports\general_ledger_model.dart                                  | Dart     |         64 |          0 |          4 |         68 |
| d:\Flutter\old_version\lib\data\model\reports\retained_earnings_model.dart                               | Dart     |         48 |          0 |          4 |         52 |
| d:\Flutter\old_version\lib\data\model\reports\supplier_ledger_model.dart                                 | Dart     |         48 |          0 |          4 |         52 |
| d:\Flutter\old_version\lib\data\model\reports\trial_balance_model.dart                                   | Dart     |         32 |          0 |          4 |         36 |
| d:\Flutter\old_version\lib\data\model\reports\withdraw_model.dart                                        | Dart     |         48 |          0 |          4 |         52 |
| d:\Flutter\old_version\lib\data\model\supplier_model.dart                                                | Dart     |         48 |          0 |          4 |         52 |
| d:\Flutter\old_version\lib\data\model\total_profit_model.dart                                            | Dart     |         30 |          0 |          3 |         33 |
| d:\Flutter\old_version\lib\data\model\transaction_model.dart                                             | Dart     |         62 |          0 |          6 |         68 |
| d:\Flutter\old_version\lib\data\model\types_model.dart                                                   | Dart     |         14 |          0 |          3 |         17 |
| d:\Flutter\old_version\lib\data\model\units_model.dart                                                   | Dart     |         23 |          0 |          3 |         26 |
| d:\Flutter\old_version\lib\data\model\users_model.dart                                                   | Dart     |         32 |          0 |          3 |         35 |
| d:\Flutter\old_version\lib\data\source\account_class.dart                                                | Dart     |        112 |          0 |         18 |        130 |
| d:\Flutter\old_version\lib\data\source\auth\register_class.dart                                          | Dart     |         86 |          0 |          9 |         95 |
| d:\Flutter\old_version\lib\data\source\auth_class.dart                                                   | Dart     |         24 |          0 |          5 |         29 |
| d:\Flutter\old_version\lib\data\source\buying_class.dart                                                 | Dart     |         81 |          0 |          7 |         88 |
| d:\Flutter\old_version\lib\data\source\cashier_class.dart                                                | Dart     |        478 |         37 |         50 |        565 |
| d:\Flutter\old_version\lib\data\source\imp_exp\export_class.dart                                         | Dart     |         82 |          0 |          9 |         91 |
| d:\Flutter\old_version\lib\data\source\imp_exp\import_class.dart                                         | Dart     |         81 |          0 |          6 |         87 |
| d:\Flutter\old_version\lib\data\source\inventory_data\box_class.dart                                     | Dart     |        193 |          4 |         20 |        217 |
